country,mineral,relationship,max_share,list,latitude,longitude
Afghanistan,fluorspar,adversary,0.3,"chromium, fluorspar",33.93911,67.709953
Albania,chromium,ally,2.5,"chromite, chromium, ferrochromium, nickel",41.153332,20.168331
Algeria,zinc,ally,0,"barite, zinc",28.033886,1.659626
Angola,manganese,neutral,0.2,manganese,-11.202692,17.873887
Argentina,lithium,ally,4.1,"aluminum, barite, fluorspar, lithium, zinc",-38.416097,-63.616672
Armenia,zinc,ally,0.1,zinc,40.069099,45.038189
Australia,lithium,ally,43.3,"zirconium, aluminum, antimony, barite, cesium, cobalt, erbium, gadolinium, lithium, manganese, nickel, palladium, platinum, praseodymium, samarium, tantalum, terbium, thulium, tin, titanium, tungsten, ytterbium, zinc",-25.274398,133.775136
Austria,tungsten,ally,1.1,"graphite, nickel, tungsten",47.516231,14.550072
Azerbaijan,aluminum,ally,0,aluminum,40.143105,47.576927
Bahrain,aluminum,neutral,2.3,aluminum,25.930414,50.637772
Belgium,indium,ally,1.9,"arsenic, indium",50.503887,4.469936
Bolivia,tin,ally,6,"antimony, arsenic, barite, bismuth, lithium, manganese, tungsten, zinc, tantalum, tin",-16.290154,-63.588653
Bosnia and Herzegovina,aluminum,neutral,0.2,"zinc, aluminum, aluminum",43.915886,17.679076
Brazil,niobium,ally,93.1,"tantalum, samarium, zirconium, aluminum, beryllium, chromite, chromium, cobalt, terbium, thulium, tin, titanium, tungsten, vanadium, zinc, tantalum, magnesium, manganese, nickel, niobium, praseodymium, dysprosium, erbium, europium, ferrochromium, fluorspar, gadolinium, graphite, lithium",-14.235004,-51.92528
Bulgaria,tellurium,ally,0.4,"barite, bismuth, tellurium, zinc",42.733883,25.48583
Burkina Faso,zinc,neutral,0.2,"manganese, zinc",12.238333,-1.561593
Burundi,tantalum,neutral,0.3,"tungsten, niobium, tantalum, tin",-3.373056,29.918886
Cameroon,aluminum,neutral,0.1,aluminum,7.369722,12.354722
Canada,palladium,ally,8,"ruthenium, tellurium, titanium, zinc, cobalt, fluorspar, graphite, platinum, rhodium, antimony, barite, bismuth, cesium, iridium, nickel, niobium, indium, aluminum, palladium",56.130366,-106.346771
Chile,lithium,ally,31.9,"zinc, lithium",-35.675147,-71.542969
China,gallium,adversary,98.4,"aluminum, rubidium, samarium, scandium, tantalum, tellurium, terbium, thulium, antimony, arsenic, barite, beryllium, bismuth, praseodymium, cerium, chromite, chromium, cobalt, dysprosium, erbium, europium, tin, titanium, tungsten, vanadium, ytterbium, yttrium, hafnium, holmium, indium, lanthanum, lithium, lutetium, magnesium, manganese, neodymium, nickel, niobium, palladium, platinum, germanium, graphite, zinc, zirconium, gallium, ferrochromium, fluorspar, gadolinium",35.86166,104.195397
Colombia,nickel,ally,1.3,"manganese, nickel, platinum",4.570868,-74.297333
Congo,cobalt,ally,69.5,"cobalt, manganese, tungsten, zinc, zinc, tantalum, tin, niobium",-4.038333,21.758664
Cuba,cobalt,adversary,2.2,"cobalt, chromium, nickel, zinc",21.521757,-77.781167
Dominican Republic,nickel,ally,0.9,"zinc, nickel",18.735693,-70.162651
Egypt,aluminum,neutral,0.4,"manganese, fluorspar, aluminum",26.820553,30.802498
